1,4
2,1
3,3
4,4
5,4
6,4
7,3
8,5
9,4
10,1
11,0
12,4
13,4
14,0
15,0
16,2
17,2
18,3
19,1
20,3
21,1
22,0
23,0
24,2
25,1
26,0
27,5
28,2
29,3
30,2
31,2
32,5
33,3
34,3
35,2
36,2
37,0
38,4
39,1
40,0
41,1
42,0
43,4
44,0
45,3
46,1
47,2
48,1
49,1
50,3
51,4
52,4
53,1
54,4
55,0
56,4
57,5
58,0
59,2
60,0
61,3
62,5
63,5
64,4
65,1
66,3
67,3
68,4
69,2
70,4
71,0
72,0
73,2
74,3
75,1
76,3
77,3
78,2
79,3
80,4
81,5
82,3
83,5
84,0
85,5
86,3
87,1
88,2
89,2
90,1
91,2
92,0
93,0
94,1
95,4
96,4
97,0
98,3
99,3
100,5
101,3
102,3
103,3
104,0
105,0
106,4
107,2
108,1
109,4
110,5
111,2
112,0
113,4
114,0
115,3
116,2
117,5
118,1
119,3
120,0
121,1
122,3
123,5
124,0
125,4
126,0
127,0
128,0
129,3
130,4
131,5
132,1
133,4
134,3
135,0
136,2
137,5
138,2
139,5
140,0
141,3
142,5
143,3
144,3
145,1
146,2
147,2
148,4
149,0
150,0
151,1
152,1
153,5
154,5
155,1
156,0
157,3
158,1
159,3
160,2
161,0
162,4
163,0
164,5
165,5
166,1
167,5
168,3
169,0
170,4
171,0
172,1
173,1
174,5
175,3
176,5
177,3
178,5
179,5
180,0
181,0
182,3
183,3
184,5
185,1
186,5
187,2
188,0
189,4
190,1
191,5
192,4
193,1
194,4
195,5
196,1
197,4
198,4
199,1
200,2
201,4
202,4
203,3
204,1
205,2
206,4
207,1
208,0
209,4
210,3
211,1
212,2
213,2
214,4
215,0
216,3
217,4
218,1
219,1
220,0
221,5
222,5
223,0
224,3
225,1
226,5
227,4
228,0
229,0
230,1
231,5
232,1
233,2
234,1
235,2
236,5
237,4
238,4
239,0
240,5
241,5
242,5
243,5
244,5
245,5
246,4
247,4
248,3
249,1
250,0
251,1
252,5
253,0
254,0
255,4
256,5
257,2
258,4
259,4
260,5
261,4
262,5
263,2
264,4
265,5
266,5
267,3
268,3
269,5
270,4
271,5
272,2
273,3
274,3
275,3
276,1
277,2
278,5
279,4
280,0
281,4
282,3
283,2
284,5
285,4
286,2
287,4
288,1
289,1
290,2
291,5
292,1
293,1
294,2
295,5
296,1
297,5
298,4
299,5
300,3
301,2
302,3
303,1
304,2
305,4
306,4
307,5
308,5
309,0
310,0
311,5
312,4
313,0
314,4
315,3
316,0
317,1
318,4
319,2
320,3
321,1
322,5
323,1
324,2
325,4
326,1
327,1
328,3
329,3
330,4
331,4
332,4
333,3
334,1
335,4
336,4
337,4
338,2
339,1
340,5
341,3
342,3
343,0
344,4
345,4
346,1
347,3
348,2
349,1
350,0
351,5
352,4
353,4
354,0
355,3
356,0
357,5
358,4
359,4
360,3
361,3
362,5
363,3
364,5
365,2
366,2
367,5
368,1
369,2
370,4
371,0
372,5
373,3
374,1
375,5
376,3
377,0
378,4
379,1
380,5
381,5
382,2
383,0
384,2
385,5
386,2
387,0
388,2
389,1
390,4
391,3
392,3
393,0
394,2
395,4
396,2
397,3
398,0
399,2
400,0
401,0
402,0
403,3
404,1
405,3
406,3
407,3
408,3
409,3
410,0
411,5
412,5
413,2
414,3
415,2
416,1
417,5
418,4
419,0
420,5
421,5
422,4
423,1
424,2
425,5
426,4
427,3
428,0
429,2
430,1
431,2
432,2
433,3
434,0
435,3
436,0
437,5
438,5
439,0
440,3
441,5
442,2
443,2
444,1
445,0
446,4
447,0
448,1
449,4
450,4
451,4
452,3
453,5
454,5
455,2
456,0
457,2
458,4
459,2
460,0
461,3
462,4
463,3
464,1
465,3
466,1
467,0
468,0
469,2
470,3
471,4
472,4
473,4
474,5
475,5
476,1
477,3
478,5
479,5
480,5
481,4
482,0
483,0
484,1
485,1
486,5
487,4
488,3
489,5
490,2
491,4
492,2
493,1
494,1
495,0
496,3
497,0
498,1
499,1
500,1
501,0
502,5
503,2
504,5
505,3
506,0
507,3
508,4
509,5
510,1
511,0
512,1
513,2
514,1
515,4
516,1
517,5
518,4
519,5
520,4
521,0
522,4
523,5
524,3
525,0
526,5
527,1
528,2
529,3
530,3
531,4
532,3
533,1
534,0
535,2
536,3
537,1
538,1
539,1
540,3
541,5
542,5
543,1
544,4
545,5
546,5
547,1
548,2
549,1
550,0
551,5
552,3
553,5
554,4
555,2
556,5
557,5
558,0
559,4
560,1
561,2
562,0
563,5
564,5
565,1
566,5
567,1
568,1
569,3
570,0
571,3
572,3
573,5
574,2
575,4
576,0
577,3
578,1
579,3
580,0
581,2
582,2
583,5
584,5
585,4
586,1
587,2
588,0
589,0
590,5
591,5
592,5
593,1
